fecha,SR17536,SR17537,SR17538,SR17539,SR17540,737219,737226,737233,737268,SR16967,SL138,SL11136,SL2830,SL11439,SL11453,SL11432,SL11426,SR17449,SR17450,SR17451,SR17452,SR17453,SR16882,SR16894,SR16906,SR16918,SR2761,SR2768,SR2775,SR2782,SF311408,SF311418,SF311433,SF311438,SF29652,SF282,SF57805,SF57771,SF57923,SF229267,SR28,SP12754,SP12755,SP12753,673095,673096,673097,673098,673099,673100,SP1,SP74625,SP74626,SP66540,SP74627,SP74628,SP66542,SP56339,SP74629,SP74630,SP56337,SP56385,SP56386,SP74631,SP56373,SP74640,SF117754,SF4782,SF4774,SF4801
1985-01-01,,,,,,,,,,,33.4790567859945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.8824,87.487144086301,118.401990986229,72.9955525315552,,,,,,,0.443221172547577,0.493989425682848,0.56120312610533,0.379776392527862,0.748646879019947,0.380512766207966,0.517282796310399,0.1560400354344,0.35128222051788,0.378564724940807,0.50723489560498,0.348582961512359,0.611107106165606,0.196107916051697,0.295688633336339,0.172289518630652,,3.70699179260332,,40595.5156286624
1985-02-01,,,,,,,,,,,33.5627820119542,,,,,,,,,,,,,,,,,,,,,,,,,48.26,,,,,66.8016,88.2701110016487,118.295507758062,74.1892085684698,,,,,,,0.450454138712277,0.495869454487771,0.5557416599401,0.392504972551617,0.733030963502195,0.403076909202429,0.529936176017041,0.172770342752712,0.367428896698415,0.392725323556558,0.524461765083821,0.350673218733123,0.645762088674748,0.204553040379343,0.303930560221539,0.175067980116478,,4.02969014917401,,26815.2631047593
1985-03-01,,,,,,,,,,,31.1306242324002,,,,,,,,,,,,,,,,,,,,,,,,,55.29,,,,,66.231,88.5787956946332,118.450205837746,74.0758539489826,,,,,,,0.471151129147815,0.51222311044202,0.567591745999459,0.406323648134718,0.744329598230174,0.428528555955853,0.545274457008896,0.205015679427294,0.396609711573,0.403213336766674,0.542285006366188,0.361470389668231,0.6667012568466,0.22581630548497,0.307327517571004,0.195853532784556,,4.3744121029231,,40456.2171963571
1985-04-01,,,,,,,,,,,32.1277655272319,,,,,,,,,,,,,,,,,,,,,,,,,57.77,,,,,69.0704,87.5896833272963,118.662298592896,73.0469910498464,,,,,,,0.493899883508212,0.537656910863568,0.591912674805742,0.422318205507239,0.78219466682433,0.45502163413937,0.558802423341131,0.244355508060333,0.428487912720277,0.418629651421299,0.561205903477431,0.38285469510478,0.682137831231108,0.232567477680762,0.31059663065222,0.198087297741723,,5.00596375348265,,71486.8419090455
1985-05-01,,,,,,,,,,,30.6719958403953,,,,,,,,,,,,,,,,,,,,,,,,,56.08,,,,,69.4595,86.6935263040747,118.716217321539,72.1269892701599,,,,,,,0.529790300746262,0.578254932714274,0.630281918741509,0.443724408310867,0.842630133488297,0.496106768642652,0.577292035983093,0.276865764581521,0.483267068373807,0.42326773054746,0.567181853081542,0.376033415591771,0.701637516759631,0.262257840873207,0.312236882007656,0.209164231322848,,4.83725506503743,,66627.070054301
1985-06-01,,,,,,,,,,,31.9839085791114,,,,,,,,,,,,,,,,,,,,,,,,,61.98,,,,,70.5276,85.3860232191024,118.691020210681,71.6080066521572,,,,,,,0.5720961333341,0.623944204874409,0.681849291975197,0.470271401322954,0.925161261044256,0.531344801153223,0.59608533310984,0.295216281006637,0.529336068698893,0.427039778985007,0.57523374432703,0.389235795492562,0.707024011196582,0.307214565321339,0.315479121385905,0.21293546643149,,5.22354202326103,,35076.0879535219
1985-07-01,,,,,,,,,,,31.7369097464913,,,,,,,,,,,,,,,,,,,,,,,,,65.54,,,,,75.1907,83.8797005131194,118.681577153933,71.6684258387151,,,,,,,0.624078428360139,0.680591749663118,0.752013353799036,0.519641281930228,1.01857652131637,0.566754530662245,0.628573023822961,0.411419897257568,0.568232527732798,0.440695556509593,0.606266940506925,0.43367820422576,0.716958783744826,0.35292676972222,0.319149098155292,0.222045264561058,,5.87403395201966,,56728.7512813874
1985-08-01,,,,,,,,,,,32.4769781642627,,,,,,,,,,,,,,,,,,,,,,,,,69.31,,,,,86.307,83.8558172348933,118.885598051285,71.6030862956201,,,,,,,0.666671471807352,0.744639043512795,0.829209312105997,0.577301842197882,1.11711686183333,0.610963206300645,0.663629377584938,0.511800415079695,0.622433344448221,0.458298379119241,0.637940632944882,0.455865430904317,0.76152973470659,0.319136853567856,0.323874837637132,0.231234239095054,,6.76706100421398,,83643.5815233074
1985-09-01,,,,,,,,,,,31.5353287033539,,,,,,,,,,,,,,,,,,,,,,,,,65.35,,,,,85.9856,83.257576384198,118.380590411231,70.8069797349099,,,,,,,0.723246358440717,0.803292993933683,0.893104224769141,0.619644469014067,1.20628785062618,0.660217648236177,0.704462388009771,0.095112275888591,0.707163759976806,0.474496176921093,0.665700443448087,0.473090627128408,0.796084562893005,0.353305241050273,0.329292793557017,0.255120844002409,,6.95211480675091,,69043.9488208332
1985-10-01,,,,,,,,,,,32.0979818152568,,,,,,,,,,,,,,,,,,,,,,,,,61.95,,,,,91.256,82.0911512362945,118.943778514402,70.3130878853615,,,,,,,0.776616740849243,0.864569922556005,0.946821802019098,0.653277861333474,1.25274658609142,0.701744984809971,0.73904674997846,0.224638844645884,0.75869214437331,0.489657423229103,0.699690241318749,0.51360666135287,0.811637098279289,0.407118926782519,0.332026172178748,0.310543095133234,,9.14591676772527,,146203.012794198
