fecha,SR17536,SR17537,SR17538,SR17539,SR17540,737219,737226,737233,737268,SR16967,444884,SL136,SL137,SL138,SL11136,SL11138,SL11139,SL2830,SL5114,SL11439,SL11453,SL11432,SL11426,SR17449,SR17450,SR17451,SR17452,SR17453,SR16882,SR16894,SR16906,SR16918,SR2761,SR2768,SR2775,SR2782,SF311408,SF311418,SF311433,SF311438,SF29652,SF282,SF57805,SF57771,SF57923,SF229267,SR28,SP12754,SP12755,SP12753,673095,673096,673097,673098,673099,673100,SP1,SP74625,SP74626,SP66540,SP74627,SP74628,SP66542,SP56339,SP74629,SP74630,SP56337,SP56385,SP56386,SP74631,SP56373,SP74640,SF117754,SF4782,SF4774,SF4801,736181,65585,65587,65591,65593,65595,65597,130822,162374,162376,162382,162380,162384,162388,162386
1985-01-01,,,,,,,,,,,,,,32.72081264687943,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.775,,,,,67.30499999999999,88.06297480630587,118.38256819399935,73.76132582910947,,,,,,,0.4549361205370894,0.500693946849056,0.5615118964557481,0.39286631060364735,0.7420010740876354,0.4036058111633816,0.530965547075146,0.17796224524990967,0.37176911842457466,0.391032939706985,0.524769865662396,0.35100986778189003,0.641212015264407,0.20885854108611865,0.302341817408903,0.18070745619528336,,4.036753756432167,,36115.7767575519,11612093.0714764,1042579.45833153,104330.197071403,118533.258924239,714207.342361576,173846.911265874,118075.342515917,10099.7758106079,nan,nan,nan,nan,nan,nan,nan
1985-04-01,,,,,,,,,,,,,,31.5933324207532,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.60999999999999,,,,,69.68583333333333,86.56406355153217,118.68984537503967,72.2679558814868,,,,,,,0.532102434433676,0.5799515834700303,0.6346800836734187,0.4454386167271327,0.849996521380029,0.4942237367722216,0.5773391120095216,0.2721585294314713,0.480361280804036,0.42285568871386864,0.5679376829822673,0.3812779378589067,0.6969442571321386,0.26739163499012936,0.313008832798941,0.20648313005411434,,5.02225929453093,,58081.99127662587,11546940.1681099,1041676.15503916,95505.5119095865,126672.472047631,718569.794399915,174436.058409164,106915.80637616,10570.5345195192,nan,nan,nan,nan,nan,nan,nan
1985-07-01,,,,,,,,,,,,,,31.916736719336466,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.73333333333333,,,,,82.49443333333333,83.70015009352016,118.649255205477,71.3587215861466,,,,,,,0.671643552713852,0.7428412190357724,0.8247749624897587,0.5721956352274084,1.1139945020932367,0.6126914212391127,0.6656040350349803,0.3394457543540323,0.6326129040758243,0.4582145873257444,0.6365609096826653,0.4512902043530363,0.7581758061646973,0.34186075757285633,0.32396369408862663,0.23636205122395068,,6.53165799267465,,69925.65150553313,11605606.6558549,1048190.84461986,88294.8939716387,117803.027681104,717894.795633415,174660.962406963,121301.256335139,6334.63909527396,nan,nan,nan,nan,nan,nan,nan
1985-10-01,,,,,,,,,,,,,,33.0712775909914,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.97000000000001,,,,,93.49876666666667,83.14808577452936,118.51230264642368,70.59028153268143,,,,,,,0.8008294652931424,0.891040409230207,0.962319938827305,0.671290486492397,1.2748330583009166,0.7373489043888403,0.769086337986424,0.271871960345745,0.787429729697419,0.5215162096157503,0.7298675366144837,0.579689176236354,0.8347927695500156,0.400178978209717,0.37318212798315265,0.3802036789813393,,10.253859218953112,,193911.2103616027,11581710.1937746,1045345.04335517,81836.11864689,120533.388598895,714739.388508767,169539.770142429,131354.607822246,-3698.51014785874,nan,nan,nan,nan,nan,nan,nan
1986-01-01,,,,,,,,,,,,,,35.123265418344566,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.04666666666667,,,,,103.61086666666667,65.82878912711213,117.20160504266899,55.63961841490717,,,,,,,0.798996666239769,0.8827748353686583,0.9801648702782213,0.6825128306053686,1.3031248696401467,0.722803571981672,0.8493711528184726,0.3206415920848927,0.7201486935690014,0.6406994833740659,0.8237069547913799,0.6198259922689237,0.9587168956366904,0.41471707180662265,0.5270656490591104,0.35286163830443834,,13.7606661322082,1894765.5440579168,554116.322502226,11345667.8923105,1025188.29704487,98012.1913490651,119972.496864783,719018.612869823,167487.31390856,112901.45017089,-3055.66746399431,nan,nan,nan,nan,nan,nan,nan
1986-04-01,,,,,,,,,,,,,,35.51638542743303,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.87666666666667,,,,,114.00736666666667,55.84812846599234,116.21931908870634,47.59705243050133,,,,,,,0.9696488663769424,1.0724629221029522,1.1997000421684165,0.8658253051909499,1.5627786603704135,0.8693269624423833,0.9465761071839546,0.43822315148291335,0.8931692405557836,0.7213699623161173,0.929438408898937,0.7126438949264133,1.07270598925365,0.5047831272922217,0.5719531570044257,0.405024196647082,,15.075675738040301,2034138.0365238169,229213.91515124167,11204328.8187642,1021359.01590513,89309.5520223553,120685.093026294,705340.278091228,157600.625096983,123254.958241691,1066.82749767154,nan,nan,nan,nan,nan,nan,nan
1986-07-01,,,,,,,,,,,,,,36.0802387731219,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.38,,,,,126.13806666666666,56.352464766678935,116.00945491384233,48.995317017192804,,,,,,,1.2578675251101232,1.38610925122886,1.5802624109487031,1.14357092130317,2.0524955984624866,1.07698836367586,1.0959987528460902,0.5436910958766217,1.1570011970898333,0.8923041961921631,1.0888610613268366,0.8617210090640023,1.2332334682872934,0.769044290210318,0.728649198516483,0.7050036145883056,,23.108562137157566,2954378.6444202065,153241.66718295068,11024508.0911471,1001971.48859139,79109.6868352833,124460.92448855,695650.523548274,144836.716793347,126273.453902578,-6011.18077657605,nan,nan,nan,nan,nan,nan,nan
1986-10-01,,,,,,,,,,,,,,36.3522446853394,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.18333333333334,,,,,133.07746666666665,59.06560151198147,116.76822490240767,50.97937803402774,,,,,,,1.5570870614548367,1.7261191114130199,1.9672240848206968,1.4287011645211198,2.5324024480354836,1.3046138826469,1.2844658042061898,0.5387551943970307,1.4342441397857602,1.0695737966793166,1.2733149915736968,1.0270175301364897,1.4458196442572733,0.973168162006388,0.9232201237050562,0.9740266905520344,,40.47231981330183,4746754.74762186,327799.4886778127,10952435.2344758,999235.875974942,75434.2280294357,124724.319471777,684015.967835563,142315.945257761,136981.085897867,-11452.0145289231,nan,nan,nan,nan,nan,nan,nan
1987-01-01,,,,,,,,,,,,,,33.015516722304305,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.33333333333333,,,,,137.55363333333332,64.34506228758583,117.85495151326768,54.238022079768136,,,,,,,1.7425683452291132,1.9423189431007468,2.25877535731975,1.5821193687509034,2.9962132473967436,1.4438429220016733,1.4598461247338033,0.6535649968145291,1.56562659614414,1.2929748631556668,1.6013481727564434,1.2969279837550234,1.8035383595556767,0.9598786863683669,1.0121313534315302,1.019665560463893,,79.87537681451305,8524412.823720219,732073.388885291,11063181.1901069,1005206.07137754,81989.5399730812,123713.708060827,683002.097980951,138917.440861263,133358.887455096,3852.27619761509,nan,nan,nan,nan,nan,nan,nan
1987-04-01,,,,,,,,,,,,,,33.9797056767159,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.03666666666668,,,,,138.5687,68.28794022671686,119.74569928924068,56.546886938642366,,,,,,,2.22452337929537,2.43586425059233,2.8536465894460563,2.00216652667063,3.7946768192901197,1.7807186665530634,1.6972020846406135,0.8198928750480453,1.9820782843188134,1.69104492653232,2.0427723144487504,1.5919940852288235,2.3366838889793633,1.3391807227689398,1.3203263188237135,1.4154637763518068,,145.83891227709233,17188993.514094967,1756521.0882746766,11370009.3174828,1032710.83153134,83702.1157801041,121869.600092178,702292.972200419,156653.674571079,134591.464984981,-1544.55798534139,nan,nan,nan,nan,nan,nan,nan
