fecha,SR17536,SR17537,SR17538,SR17539,SR17540,SR16967,SL138,SL11136,SL2830,SL11439,SL11453,SL11432,SL11426,SR17449,SR17450,SR17451,SR17452,SR17453,SR16882,SR16894,SR16906,SR16918,SR2761,SR2768,SR2775,SR2782,SF311408,SF311418,SF311433,SF311438,SF29652,SF282,SF57805,SF57771,SF57923,SF229267,SR28,SP12754,SP12755,SP12753,SP1,SP74625,SP74626,SP66540,SP74627,SP74628,SP66542,SP56339,SP74629,SP74630,SP56337,SP56385,SP56386,SP74631,SP56373,SP74640,SF117754,SF4782,SF4774,SF4801
1985-01-01,,,,,,,33.4811472349256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.8824,87.4885507001682,118.401990986229,72.9955740205743,0.443157105444647,0.493510887322413,0.561203038145257,0.379776672546813,0.748646846076576,0.38051301355675,0.517714786749129,0.155854720085794,0.351282828436852,0.378562404046357,0.507209103918908,0.348582961486795,0.611062824184067,0.196138397958431,0.295672545868946,0.166964200242791,,3.70703455191066,,40585.2544105724
1985-02-01,,,,,,,33.5640201837182,,,,,,,,,,,,,,,,,,,,,,,,,48.26,,,,,66.8016,88.2689996433138,118.295507758062,74.1891919704299,0.450445695407365,0.495785014239997,0.55574168339137,0.392505025749832,0.733030947027972,0.403077049863779,0.530082415634111,0.172679929900055,0.367429649339096,0.392706765550666,0.524648062508743,0.350673218757668,0.645719379016378,0.204619650801669,0.303920947839382,0.171033232378213,,4.02921804707919,,26800.5501490139
1985-03-01,,,,,,,31.1319552161193,,,,,,,,,,,,,,,,,,,,,,,,,55.29,,,,,66.231,88.5778721576132,118.450205837746,74.0757919255498,0.471250771073849,0.512512090921789,0.567591891076984,0.406323638048331,0.744329601417054,0.428528679135006,0.545210863422154,0.204984383890989,0.396610483273865,0.403197391115005,0.542468472719317,0.361470389703617,0.666666848474507,0.225889908604886,0.307321074091738,0.192408712546777,,4.37443228286124,,40464.3538827042
1985-04-01,,,,,,,32.1294981767624,,,,,,,,,,,,,,,,,,,,,,,,,57.77,,,,,69.0704,87.5889693077953,118.662298592896,73.0469369497127,0.494056480619736,0.538108073878357,0.591912894191457,0.422318183905576,0.782194686609396,0.455021714094492,0.558660865274228,0.244341603697071,0.428488501106708,0.418630108370198,0.561248490974419,0.382854695161764,0.682111707236024,0.232642726371096,0.310589007264847,0.194564258178543,,5.00587206633865,,71490.6488190011
1985-05-01,,,,,,,30.6740075190978,,,,,,,,,,,,,,,,,,,,,,,,,56.08,,,,,69.4595,86.6930559215778,118.716217321539,72.1269437060343,0.529968164518274,0.578675153116745,0.630282133336553,0.443724388194902,0.842630157270751,0.49610680838609,0.577170026645801,0.276701583113989,0.483267403576336,0.423282611269651,0.56736236799641,0.376033415673462,0.701622464303952,0.262341268617817,0.312234771006878,0.207700290680424,,4.83734220681869,,66639.4986232632
1985-06-01,,,,,,,31.9867019714889,,,,,,,,,,,,,,,,,,,,,,,,,61.98,,,,,70.5276,85.385826512357,118.691020210681,71.6079711053468,0.572304028943357,0.62432287102651,0.681849449368676,0.470271388521241,0.92516128314562,0.531344816274131,0.596031155320078,0.294821952755697,0.529336220721532,0.427048336844587,0.575215532473199,0.389235795642381,0.70701849779743,0.307305934119195,0.315478409201477,0.201599199544203,,5.22364901437115,,35090.4232330456
1985-07-01,,,,,,,31.7390526813833,,,,,,,,,,,,,,,,,,,,,,,,,65.54,,,,,75.1907,83.8794735580036,118.681577153932,71.6684555423264,0.62432607499,0.680899161458114,0.752013415772687,0.519641265172505,1.01857653999073,0.566754527715551,0.628512627712726,0.414266703002487,0.568232617901897,0.440693762065958,0.606292772707568,0.433678204180798,0.716973804326354,0.353021417196628,0.319153950011821,0.209062614044915,,5.87414717756501,,56734.6639193673
1985-08-01,,,,,,,32.4795466723846,,,,,,,,,,,,,,,,,,,,,,,,,69.31,,,,,86.307,83.8558966653251,118.885598051285,71.6031176163625,0.667005835387699,0.744912930977735,0.829209288110957,0.577301841698938,1.1171168723904,0.610963146139414,0.663642101789698,0.508075094348393,0.622433362820565,0.458308354199909,0.637843089234662,0.455865430792136,0.76155963442214,0.319337877386563,0.323881024050701,0.21532840849961,,6.76720797125525,,83653.9023364162
1985-09-01,,,,,,,31.5381087031305,,,,,,,,,,,,,,,,,,,,,,,,,65.35,,,,,85.9856,83.2579961827804,118.380590411231,70.8069978076374,0.723623208838726,0.803473977781546,0.893104136103032,0.619644517462842,1.20628786159198,0.660217410462079,0.704574573536254,0.0947908387558158,0.707162255608404,0.474502570068758,0.66549839336089,0.473090626982214,0.796123541189299,0.353396902884238,0.329297750270504,0.254223685664194,,6.95236220535692,,69023.4603108436
1985-10-01,,,,,,,32.0922242114575,,,,,,,,,,,,,,,,,,,,,,,,,61.95,,,,,91.256,82.0918454654766,118.943778514403,70.3131239764662,0.775997785347614,0.864792660331091,0.94682133844128,0.653277952972503,1.2527465722266,0.701744587526257,0.739316819384352,0.226797165433807,0.758690057672437,0.489656958989428,0.699114127688468,0.513606661190335,0.811656056827227,0.407454512415532,0.332035345419027,0.308982605497128,,9.14580159658649,,146239.53777452
