fecha,SR17536,SR17537,SR17538,SR17539,SR17540,737219,737226,737233,737268,SR16967,444884,SL136,SL137,SL138,SL11136,SL11138,SL11139,SL2830,SL5114,SL11439,SL11453,SL11432,SL11426,SR17449,SR17450,SR17451,SR17452,SR17453,SR16882,SR16894,SR16906,SR16918,SR2761,SR2768,SR2775,SR2782,SF311408,SF311418,SF311433,SF311438,SF29652,SF235719,SF235716,SF282,SF57805,SF57771,SF57923,SF229267,SR28,SP12754,SP12755,SP12753,673095,673096,673097,673098,673099,673100,SP1,SP74625,SP74626,SP66540,SP74627,SP74628,SP66542,SP56339,SP74629,SP74630,SP56337,SP56385,SP56386,SP74631,SP56373,SP74640,SF117754,SF4782,SF4774,SF4801,736181
1985-01-01,,,,,,,,,,,,,,32.720706857647436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.55944203115965,,,,,67.27163955215097,88.06309332765602,118.38256819399935,73.76181403113374,,,,,,,0.4549250342681,0.500602416497563,0.561511967225716,0.3928662399563943,0.7420009859968667,0.40360405838565966,0.5308275180610014,0.177959209804352,0.37176905901328333,0.3910563947275157,0.524746195986186,0.351013318876689,0.6412330545917077,0.20866475997027667,0.3023508111999777,0.17711223249847266,,4.0367412230023065,,36116.39001605883,11612093.0714764
1985-04-01,,,,,,,,,,,,,,31.592768554750865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.87480501075576,,,,,69.5285874782832,86.56372796607974,118.68984537503934,72.26905181468773,,,,,,,0.5320972384459464,0.5803684370296853,0.6346802998833253,0.4454386281950373,0.8499966839637086,0.49422347195380006,0.5773957275743573,0.27215685754114965,0.48036125070400765,0.4228505529771313,0.5679107083253246,0.3812781541263573,0.696959396131663,0.26744700537657934,0.313000776518006,0.20170095835025234,,5.022257991164186,,58080.9769064587,11546940.1681099
1985-07-01,,,,,,,,,,,,,,31.915889307303733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.66282345885419,,,,,83.4454523169786,83.70011123408342,118.649255205477,71.35795255550717,,,,,,,0.6716376321036203,0.7430954572302859,0.8247750064919703,0.5721956281222894,1.11399457901275,0.612692169260732,0.665557066296966,0.33944617412782563,0.6326129430832533,0.4582033721628167,0.6365739228073323,0.45127956626005833,0.7581453472616957,0.3419809531424017,0.323963541496346,0.22678955915083332,,6.531715066365581,,69925.85708663517,11605606.6558549
1985-10-01,,,,,,,,,,,,,,33.0728893261467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.18914433478328,,,,,92.68515418727924,83.1483506428675,118.51230264642334,70.58952111895424,,,,,,,0.8008526567261006,0.8903464517338201,0.962319552303552,0.671290544958638,1.2748329445334,0.7373505475015226,0.7692211764716297,0.27187675694177166,0.7874298059305366,0.5215051546988371,0.7299177765149709,0.579696759850929,0.834779875624104,0.40015408869411134,0.37318211702639764,0.398437580300907,,10.25380616435104,,193910.79921045466,11581710.1937746
1986-01-01,,,,,,,,,,,,,,35.123224119103405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.64574252827123,,,,,103.54756174295204,65.8288889054652,117.20160504266933,55.6399256061811,,,,,,,0.7989845273468289,0.8827825952790024,0.9801650186590597,0.682512776630969,1.3031247575101699,0.722800954004636,0.8492917136013229,0.320637910185541,0.720148587067008,0.640736113879794,0.823670780148899,0.6198319882779727,0.9587489201002116,0.414539688353113,0.5270808071899736,0.3486848177675433,,13.760621850829635,1894757.6638438099,554124.6839526733,11345667.8923105
1986-04-01,,,,,,,,,,,,,,35.51573485713437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.97508279610626,,,,,113.87368717146167,55.84780330147123,116.21931908870634,47.597706411052634,,,,,,,0.9696437140693394,1.0729078524485542,1.1997002787306832,0.8658253114897563,1.5627788233281132,0.869326897935477,0.9465977864769629,0.43822137710264103,0.8931692024660203,0.7213613675756108,0.9293960275124512,0.7126440529253166,1.0727298165270467,0.5049676755380637,0.5719388995169776,0.40037241792139966,,15.075672131444131,2034150.2978025265,229211.07885711433,11204328.8187642
1986-07-01,,,,,,,,,,,,,,36.079001794808995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.07802329758464,,,,,127.615080501403,56.35243481922323,116.00945491384266,48.99484160977634,,,,,,,1.2578615742994865,1.3864222245828666,1.5802623654949668,1.1435709214839866,2.052495740963607,1.07698989051229,1.0959144276642834,0.5436916183787643,1.1570012842798467,0.8922839534879801,1.0888857777474266,0.8617018752272497,1.23318337414693,0.7691155921153617,0.7286489876267507,0.6968479907277553,,23.108769872260734,2954399.6029758267,153241.86025925065,11024508.0911471
1986-10-01,,,,,,,,,,,,,,36.35426641268344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.40805145409911,,,,,131.648320240098,59.065859998010374,116.76822490240733,50.978902616864595,,,,,,,1.5571115956558135,1.7251331866491,1.96722364856691,1.42870118617328,2.532402244505843,1.3046160687647934,1.2844935200555165,0.5387608971386286,1.4342442532418234,1.0695530351076232,1.2733930320815,1.0270304896501923,1.4457984242806632,0.9728606642248664,0.9232162236206927,0.991054690866655,,40.4721074347577,4746717.536624816,327799.15049362864,10952435.2344758
1987-01-01,,,,,,,,,,,,,,33.0155527468158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.34677107016493,,,,,137.47098503704532,64.3451484340021,117.85495151326832,54.23833651413307,,,,,,,1.74255530538439,1.94246426745283,2.25877573129819,1.582119347506633,2.9962131454550867,1.4438376015066767,1.4600191702610967,0.65356050448723,1.5656262982576434,1.2930411795495367,1.6012764745149666,1.2969409726908,1.8035980048882998,0.9599637977773706,1.0121563851978366,1.0144558059624809,,79.87517813301223,8524386.001191119,732078.8106568321,11063181.1901069
1987-04-01,,,,,,,,,,,,,,33.97904194453333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.6962494030369,,,,,138.74745183833033,68.28763049144224,119.74569928924099,56.5475035430912,,,,,,,2.2245183273146663,2.43637366433309,2.8536467115476296,2.00216653390302,3.7946771240328636,1.7807201175444833,1.6970862483009965,0.8198908984392786,1.9820783457538267,1.6910260386676432,2.0426867010253935,1.5919931122700064,2.336735387755563,1.339656211549353,1.3202973028178067,1.4113193646349167,,145.83885440964733,17189096.67416103,1756493.3775942102,11370009.3174828
