fecha,SR17536,SR17537,SR17538,SR17539,SR17540,737219,737226,737233,737268,SR16967,444884,SL136,SL137,SL138,SL11136,SL11138,SL11139,SL2830,SL5114,SL11439,SL11453,SL11432,SL11426,SR17449,SR17450,SR17451,SR17452,SR17453,SR16882,SR16894,SR16906,SR16918,SR2761,SR2768,SR2775,SR2782,SF311408,SF311418,SF311433,SF311438,SF29652,SF235719,SF235716,SF282,SF57805,SF57771,SF57923,SF229267,SR28,SP12754,SP12755,SP12753,673095,673096,673097,673098,673099,673100,SP1,SP74625,SP74626,SP66540,SP74627,SP74628,SP66542,SP56339,SP74629,SP74630,SP56337,SP56385,SP56386,SP74631,SP56373,SP74640,SF117754,SF4782,SF4774,SF4801
1985-01-01,,,,,,,,,,,,,,33.4741476023992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.8696645720998,87.4728216062782,118.401990986211,73.0004036605489,,,,,,,0.44312559455216,0.493510721755573,0.561203102233107,0.379770652653918,0.748643907550552,0.37916095224405,0.51727630432713,0.156052758057154,0.351278482171959,0.377717213161271,0.50724487420381,0.349638942408259,0.611151535744621,0.19609414909877,0.295875842709087,0.16684891360928,,3.70669027480752,,40742.7608721483
1985-02-01,,,,,,,,,,,,,,33.5597866822179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7364151258655,,,,,66.5426958041042,88.2743642694017,118.295507758047,74.1972819314311,,,,,,,0.450419133595059,0.495784762012278,0.55574153081962,0.392504025709538,0.73302942376524,0.403088320698936,0.529932220096144,0.172789246442982,0.367424050299526,0.392534313704718,0.524586617652034,0.347192400970527,0.645805493370514,0.204459472305659,0.304069107205249,0.171396501503803,,4.02935899261379,,26771.4309674327
1985-03-01,,,,,,,,,,,,,,31.1281862883252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.382468931973,,,,,66.4025582802489,88.4420941259437,118.45020583774,74.087756501556,,,,,,,0.471230374657081,0.512511765717645,0.567591268624421,0.406324041505727,0.74432962667959,0.428562902254091,0.54527402975973,0.205035625118077,0.396604644568365,0.402917657630371,0.542407096105753,0.356208613251281,0.666742134659988,0.225440658411413,0.30743585978502,0.193091289058405,,4.37417440322718,,40834.9783787739
1985-04-01,,,,,,,,,,,,,,32.1255590967537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.8605800046683,,,,,68.2398832311879,87.5954188416223,118.662298592897,73.0574574583168,,,,,,,0.494042315221237,0.53810773421426,0.591911863588455,0.422318913596117,0.782195879459158,0.455073311748271,0.558804833291385,0.244371783802969,0.42848396802875,0.418331536683565,0.561215265234699,0.384181134147306,0.682174244059147,0.232563152026683,0.31069352248009,0.195460255783987,,5.00572257855128,,71932.1197100521
1985-05-01,,,,,,,,,,,,,,30.6702075628006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.4996411596858,,,,,69.0388946487064,86.7007036749983,118.71621732154,72.135243028258,,,,,,,0.529957064501756,0.578674867956943,0.630280875779071,0.443725095331596,0.842631651532005,0.496177551856347,0.577295048785992,0.276876727682994,0.483264757737558,0.423101883609182,0.567319959602099,0.368996188102964,0.701659435460097,0.262370394522596,0.312270694013795,0.208236530563767,,4.83726211194255,,67021.7118793043
1985-06-01,,,,,,,,,,,,,,31.9825390046983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.2641938662658,,,,,71.3069845549553,85.395061328736,118.691020210681,71.61445495779,,,,,,,0.572292335614846,0.624322708933799,0.68184816028245,0.470271875657399,0.925162520890134,0.531419552262849,0.596087300645695,0.29522206127246,0.529335026345715,0.427118238522805,0.575196900143013,0.390657140128802,0.707044508875745,0.30740746946596,0.315509703992138,0.201406094383463,,5.22378928501574,,35289.0987982541
1985-07-01,,,,,,,,,,,,,,31.7359176182026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.4322659177502,,,,,76.4631857716973,83.9248838214668,118.681577153883,71.6903419491566,,,,,,,0.624313635741891,0.680899086851711,0.752012391652694,0.519641731036109,1.01857758045609,0.566779604819405,0.628574657250443,0.411431030920793,0.568232085101502,0.441082519491988,0.606297297038219,0.434488133598601,0.716929576202818,0.353087931691063,0.319117180366988,0.209292957046309,,5.874392298638,,56796.0072189672
1985-08-01,,,,,,,,,,,,,,32.4764946959459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.2765019093114,,,,,87.2571274092922,83.9042558812495,118.885598051301,71.6020227350639,,,,,,,0.666991290490397,0.744912885669815,0.829208620787753,0.577301841216262,1.11711751863737,0.610905843683105,0.66363144804628,0.511831185806567,0.622433669930997,0.458639160573427,0.637870294523062,0.456089212249008,0.761488185722114,0.319551259718692,0.323765107057432,0.217340998660826,,6.76763195841654,,83710.9414378525
1985-09-01,,,,,,,,,,,,,,31.5352556077627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.2797025515514,,,,,86.6160437699463,83.2711939934131,118.380590411247,70.7814929820887,,,,,,,0.723607970078573,0.80347439914712,0.893104007035464,0.619643312114497,1.20628863794051,0.660391059262555,0.704465093594175,0.0950763056951631,0.707173074217261,0.474888436280943,0.665554176862545,0.463261352932566,0.796018279860155,0.353303667851831,0.329232202543042,0.253734728220884,,6.95312093210457,,69270.622676011
1985-10-01,,,,,,,,,,,,,,32.1022664849248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0495489819448,,,,,89.9593619772616,82.0851899172692,118.943778514418,70.313404321601,,,,,,,0.776008249873995,0.864794375325427,0.946828338984638,0.653275911574938,1.25274586082773,0.702304437119923,0.739048811282956,0.224609203195092,0.758704650156324,0.490247684280149,0.699315470113375,0.522003161073688,0.811621523914629,0.405170442521446,0.331910690932584,0.308453640089039,,9.14648355346451,,142162.665047878
