fecha,SP74663,SF4782
01/05/1997,-0.1200,3968.81
01/06/1997,0.4000,4458.00
01/07/1997,1.0100,5067.80
01/08/1997,1.1300,4648.40
01/09/1997,0.7300,5321.50
01/10/1997,0.4600,4647.84
01/11/1997,1.4800,4974.57
01/12/1997,1.8200,5229.35
01/01/1998,2.9200,4569.36
01/02/1998,1.2400,4784.45
01/03/1998,1.3400,5016.22
01/04/1998,0.3600,5098.53
01/05/1998,0.0100,4530.01
01/06/1998,1.1800,4282.62
01/07/1998,1.5100,4244.96
01/08/1998,0.7700,2991.93
01/09/1998,0.7600,3569.88
01/10/1998,1.5200,4074.86
01/11/1998,3.5600,3769.88
01/12/1998,4.8800,3959.66
01/01/1999,2.8500,3957.93
01/02/1999,0.0400,4260.80
01/03/1999,-0.8400,4930.37
01/04/1999,0.1300,5414.45
01/05/1999,-0.4400,5477.65
01/06/1999,0.3100,5829.51
01/07/1999,0.6600,5260.35
01/08/1999,0.0100,5086.87
01/09/1999,0.2300,5050.46
01/10/1999,0.3800,5450.37
01/11/1999,1.6400,6136.47
01/12/1999,1.5700,7129.88
01/01/2000,1.4800,6585.67
01/02/2000,0.2700,7368.55
01/03/2000,0.2900,7473.25
01/04/2000,0.7000,6640.68
01/05/2000,0.1900,5961.14
01/06/2000,1.3400,6948.33
01/07/2000,0.5600,6514.21
01/08/2000,0.9300,6664.82
01/09/2000,0.6200,6334.56
01/10/2000,1.1700,6394.24
01/11/2000,1.4800,5652.63
01/12/2000,2.5500,5652.19
01/01/2001,0.0300,6496.89
01/02/2001,-2.3600,6032.10
01/03/2001,0.7300,5727.89
01/04/2001,0.5700,5987.25
01/05/2001,-0.1500,6595.39
01/06/2001,-0.0100,6666.17
01/07/2001,-1.4600,6474.40
01/08/2001,1.3600,6310.70
01/09/2001,1.4400,5403.53
01/10/2001,1.0300,5537.04
01/11/2001,0.7700,5832.83
01/12/2001,-0.1500,6372.28
01/01/2002,2.1500,6927.87
01/02/2002,-2.2500,6734.44
01/03/2002,0.8200,7361.86
01/04/2002,1.1000,7480.74
01/05/2002,0.2500,7031.64
01/06/2002,1.5300,6460.95
01/07/2002,0.8000,6021.84
01/08/2002,0.5400,6216.43
01/09/2002,0.3900,5728.46
01/10/2002,1.2200,5967.73
01/11/2002,3.0800,6156.83
01/12/2002,1.2500,6127.09
01/01/2003,0.2600,5954.35
01/02/2003,-0.5000,5927.06
01/03/2003,1.4400,5914.03
01/04/2003,-0.4300,6509.88
01/05/2003,-2.4300,6699.18
01/06/2003,-0.0100,7054.99
01/07/2003,0.1800,7355.07
01/08/2003,0.0800,7591.42
01/09/2003,1.0200,7822.48
01/10/2003,0.9300,8064.83
01/11/2003,2.9000,8554.48
01/12/2003,0.9300,8795.28
01/01/2004,1.4600,9428.77
01/02/2004,1.1200,9991.80
01/03/2004,0.2400,10517.50
01/04/2004,-0.4700,9948.13
01/05/2004,-1.9400,10036.29
01/06/2004,-0.2200,10281.82
01/07/2004,0.5800,10116.39
01/08/2004,1.8300,10264.32
01/09/2004,1.7300,10957.37
01/10/2004,2.1100,11564.35
01/11/2004,2.9700,12102.55
01/12/2004,-0.0400,12917.88
01/01/2005,-1.2400,13097.12
01/02/2005,0.1500,13789.46
01/03/2005,1.0200,12676.90
01/04/2005,0.9200,12322.99
01/05/2005,-1.7500,12964.39
01/06/2005,-1.2600,13486.13
01/07/2005,1.0400,14409.66
01/08/2005,0.0500,14243.19
01/09/2005,0.1300,16120.08
01/10/2005,0.2700,15759.73
01/11/2005,2.5100,16830.96
01/12/2005,1.7400,17802.71
01/01/2006,1.8200,18907.10
01/02/2006,-0.4200,18706.32
01/03/2006,-0.7700,19272.63
01/04/2006,-0.5000,20646.19
01/05/2006,-2.4100,18677.92
01/06/2006,-0.6600,19147.17
01/07/2006,0.3300,20095.93
01/08/2006,1.6900,21049.35
01/09/2006,2.6100,21937.11
01/10/2006,1.1400,23046.95
01/11/2006,1.4000,24962.01
01/12/2006,1.1800,26448.32
01/01/2007,0.6900,27561.49
01/02/2007,-0.0500,26638.95
01/03/2007,-0.0400,28747.69
01/04/2007,-0.9000,28996.71
01/05/2007,-2.7800,31398.96
01/06/2007,-0.4500,31151.05
01/07/2007,0.8400,30659.66
01/08/2007,0.8800,30347.86
01/09/2007,1.8000,30296.19
01/10/2007,0.6000,31458.67
01/11/2007,2.3200,29770.52
01/12/2007,0.5200,29536.83
01/01/2008,0.5600,28793.64
01/02/2008,-0.1400,28918.52
01/03/2008,1.5100,30912.99
01/04/2008,-0.3200,30281.41
01/05/2008,-2.0400,31975.47
01/06/2008,0.2200,29395.49
01/07/2008,1.0900,27501.02
01/08/2008,1.1300,26290.99
01/09/2008,1.0100,24888.90
01/10/2008,2.0000,20445.32
01/11/2008,3.3800,20534.72
01/12/2008,1.0800,22380.32
01/01/2009,-0.4300,19565.14
01/02/2009,-0.5600,17752.18
01/03/2009,0.7700,19626.75
01/04/2009,0.1100,21898.85
01/05/2009,-1.8800,24331.71
01/06/2009,-0.0400,24368.38
01/07/2009,0.1600,27043.50
01/08/2009,0.5200,28129.95
01/09/2009,0.8500,29232.24
01/10/2009,0.2300,28646.03
01/11/2009,1.7600,30957.11
01/12/2009,0.2500,32120.47
01/01/2010,2.1800,30391.61
01/02/2010,1.1100,31634.54
01/03/2010,1.8500,33266.43
01/04/2010,-1.6600,32687.32
01/05/2010,-3.3900,32038.53
01/06/2010,-0.5900,31156.97
01/07/2010,0.2500,32308.74
01/08/2010,0.8800,31679.85
01/09/2010,1.0600,33330.34
01/10/2010,2.0200,35568.22
01/11/2010,2.6200,36817.32
01/12/2010,0.7000,38550.79
01/01/2011,0.5700,36982.24
01/02/2011,0.2800,37019.70
01/03/2011,-0.1600,37440.51
01/04/2011,-0.2800,36962.62
01/05/2011,-3.8000,35832.79
01/06/2011,-0.7000,36558.07
01/07/2011,1.3800,35999.34
01/08/2011,0.2900,35721.10
01/09/2011,0.1700,33503.28
01/10/2011,2.1200,36159.99
01/11/2011,3.6700,36829.15
01/12/2011,1.8600,37077.52
01/01/2012,1.5500,37422.68
01/02/2012,-0.5100,37816.69
