fecha,SR17536,SR17537,SR17538,SR17539,SR17540,737219,737226,737233,737268,SR16967,444884,SL136,SL137,SL138,SL11136,SL11138,SL11139,SL2830,SL5114,SL11439,SL11453,SL11432,SL11426,SR17449,SR17450,SR17451,SR17452,SR17453,SR16882,SR16894,SR16906,SR16918,SR2761,SR2768,SR2775,SR2782,SF311408,SF311418,SF311433,SF311438,SF29652,SF282,SF57805,SF57771,SF57923,SF229267,SR28,SP12754,SP12755,SP12753,673095,673096,673097,673098,673099,673100,SP1,SP74625,SP74626,SP66540,SP74627,SP74628,SP66542,SP56339,SP74629,SP74630,SP56337,SP56385,SP56386,SP74631,SP56373,SP74640,SF117754,SF4782,SF4774,SF4801
1985-01-01,,,,,,,,,,,,,,33.4731168880505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.8824,87.4721027043484,118.401990986211,73.0008600024844,,,,,,,0.443136175094888,0.493989082787,0.561203107719395,0.379323632836603,0.748643941348866,0.380509643081411,0.517282009596356,0.156169319619105,0.351278559686676,0.377695306540268,0.507222606253002,0.349915687578688,0.61113720528275,0.196057922819204,0.295917373299224,0.165301294236979,,3.70673382748629,,40741.6587727478
1985-02-01,,,,,,,,,,,,,,33.5591398823948,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.26,,,,,66.8016,88.2750247094797,118.295507758047,74.1968516695221,,,,,,,0.45042804536011,0.49586951432231,0.555741531735655,0.392490177985275,0.733029436206398,0.403076258413717,0.529936265777618,0.172930364309187,0.367424146753643,0.392508721174381,0.52463221272375,0.347023692009534,0.645792454187981,0.204407086689209,0.303967561968621,0.171146897290728,,4.02932215639839,,26769.8619888002
1985-03-01,,,,,,,,,,,,,,31.127868354887,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.29,,,,,66.231,88.4417970050895,118.45020583774,74.0862658153219,,,,,,,0.471237205226143,0.512223511277429,0.567591267258673,0.406448063037215,0.744329616079501,0.428527973987692,0.545275171907449,0.205174404334758,0.396604743532672,0.402898825959162,0.542453692045978,0.356054269398882,0.666728837857088,0.225371049516822,0.307144655128266,0.193895152540585,,4.37420528541182,,40835.8095111077
1985-04-01,,,,,,,,,,,,,,32.1256136412174,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.77,,,,,69.0704,87.5958768617153,118.662298592897,73.0561537864639,,,,,,,0.494047046746066,0.537657477207829,0.591911862081643,0.422465611861209,0.782195852131706,0.455021261885183,0.558803316111072,0.244479136090974,0.428484043572295,0.418326550684666,0.561239386007182,0.384186805786052,0.682162278208686,0.23249844876346,0.312036466452043,0.196607932189154,,5.00573337911214,,71932.1731868871
1985-05-01,,,,,,,,,,,,,,30.6706459550897,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.08,,,,,69.4595,86.701044560809,118.71621732154,72.1341352499362,,,,,,,0.529960764071777,0.578255435413154,0.63028087664224,0.443862568029493,0.842631623384684,0.496106619966116,0.577292700504096,0.276945818467168,0.483264800917664,0.423109497897691,0.567356161284262,0.368903100514042,0.701652384213595,0.262293545472241,0.311659713953635,0.209356190605871,,4.8372718116223,,67023.0599797313
1985-06-01,,,,,,,,,,,,,,31.9836715557344,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.98,,,,,70.5276,85.3952692320722,118.691020210682,71.6135786080603,,,,,,,0.572296232841612,0.623944531467919,0.68184816441943,0.470396022108219,0.925162497886377,0.531344749849225,0.596085695257102,0.295262610159931,0.529335045899778,0.42713277897068,0.575216273864837,0.390574232517044,0.707037707393691,0.307324147079225,0.315324090548238,0.200531940661324,,5.22377269285835,,35290.7406632592
1985-07-01,,,,,,,,,,,,,,31.7368411934053,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.54,,,,,75.1907,83.9251300251009,118.681577153882,71.6911579139054,,,,,,,0.624317774535276,0.680591867204513,0.752012398339197,0.519780649380429,1.01857756231514,0.566754349763995,0.628573348325121,0.411532151430568,0.568232096018322,0.441104141133674,0.606301334667923,0.434464860455529,0.716940789577352,0.353006061429327,0.319097611076422,0.209408229615176,,5.87436353526254,,56796.6874070252
1985-08-01,,,,,,,,,,,,,,32.4779421500801,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.31,,,,,86.307,83.9042838251723,118.885598051302,71.6027374353048,,,,,,,0.666996125699924,0.744639020964131,0.829208628834864,0.577408079680978,1.11711750818238,0.610962834599465,0.663629372509619,0.511716324087767,0.622433670506066,0.458643725305337,0.637858855228029,0.45610088551743,0.761503149239598,0.319464857337334,0.323724469463587,0.217773999350775,,6.76758271624653,,83711.8948328139
1985-09-01,,,,,,,,,,,,,,31.5370496911951,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.35,,,,,85.9856,83.2710364302873,118.380590411247,70.7822694092296,,,,,,,0.723613038255672,0.803293051533906,0.893104013448042,0.619628318760561,1.20628863322541,0.660218597786321,0.704462029897694,0.0948977447109389,0.707172883526508,0.474895495448898,0.66552317159006,0.463329044595789,0.796042851169399,0.353300820466121,0.329069989655381,0.253156594752534,,6.95302772651488,,69268.3722767603
1985-10-01,,,,,,,,,,,,,,32.100758197979,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.95,,,,,91.256,82.0848676749367,118.943778514418,70.3142393129515,,,,,,,0.776004781725756,0.864570043339796,0.946828291424077,0.653146229395863,1.25274588054784,0.7017480441004,0.739045750593776,0.224356714232455,0.758704387006382,0.490269128572309,0.699134539617906,0.522021273427484,0.811624917918755,0.405191518089547,0.331777915649161,0.308002436257056,,9.14643594285584,,142166.637095544
